id,day,begin_hour,rest_length
0,0,4,1.517151321919405
0,1,6,1.1968903874973245
0,2,0,1.8015495086923654
0,3,2,1.926955712326085
0,3,16,1.1614022757697458
0,4,19,1.87762077294686
0,5,10,1.4397712765957436
0,6,15,1.3885742821473157
1,0,4,1.517151321919405
1,0,8,1.307800679669032
1,1,21,1.3295366991078659
1,2,0,1.8015495086923654
1,2,2,1.926955712326085
1,3,9,1.1975565656565659
1,4,0,1.8015495086923654
1,4,6,1.1968903874973245
1,5,3,1.7760456895642092
1,5,7,1.9428860398860393
1,6,7,1.9428860398860393
10,0,1,1.8093585740307072
10,1,-1,
10,2,9,1.1975565656565659
10,3,2,1.926955712326085
10,4,10,1.4397712765957436
10,5,13,1.4312125824454596
10,6,5,1.1498277818299711
10,6,20,1.6120232172470974
100,0,23,1.719228948679622
100,1,4,1.517151321919405
100,2,4,1.517151321919405
100,3,-1,
100,4,3,1.7760456895642092
100,5,-1,
100,6,4,1.517151321919405
100,6,5,1.1498277818299711
101,0,15,1.3885742821473157
101,0,20,1.6120232172470974
101,1,1,1.8093585740307072
101,2,6,1.1968903874973245
101,2,9,1.1975565656565659
101,3,4,1.517151321919405
101,4,3,1.7760456895642092
101,5,7,1.9428860398860393
101,6,5,1.1498277818299711
102,0,19,1.87762077294686
102,1,3,1.7760456895642092
102,1,17,1.4313220551378458
102,2,4,1.517151321919405
102,2,11,1.7595890328773707
102,3,3,1.7760456895642092
102,4,-1,
102,5,-1,
102,6,-1,
103,0,5,1.1498277818299711
103,1,4,1.517151321919405
103,2,3,1.7760456895642092
103,3,21,1.3295366991078659
103,4,1,1.8093585740307072
103,5,5,1.1498277818299711
103,6,4,1.517151321919405
104,0,6,1.1968903874973245
104,0,18,1.3561245791245795
104,1,1,1.8093585740307072
104,2,4,1.517151321919405
104,2,9,1.1975565656565659
104,3,4,1.517151321919405
104,3,16,1.1614022757697458
104,4,4,1.517151321919405
104,4,6,1.1968903874973245
104,4,7,1.9428860398860393
104,5,14,1.2834484551396315
104,6,8,1.307800679669032
105,0,17,1.4313220551378458
105,1,3,1.7760456895642092
105,2,14,1.2834484551396315
105,3,20,1.6120232172470974
105,4,4,1.517151321919405
105,4,6,1.1968903874973245
105,4,9,1.1975565656565659
105,5,13,1.4312125824454596
105,6,2,1.926955712326085
106,0,3,1.7760456895642092
106,1,12,1.8944583557709551
106,2,15,1.3885742821473157
106,3,15,1.3885742821473157
106,4,3,1.7760456895642092
106,5,22,1.349054149085795
106,6,9,1.1975565656565659
107,0,14,1.2834484551396315
107,1,4,1.517151321919405
107,1,5,1.1498277818299711
107,2,6,1.1968903874973245
107,3,17,1.4313220551378458
107,4,7,1.9428860398860393
107,5,11,1.7595890328773707
107,6,16,1.1614022757697458
108,0,4,1.517151321919405
108,1,2,1.926955712326085
108,2,0,1.8015495086923654
108,3,22,1.349054149085795
108,4,1,1.8093585740307072
108,5,12,1.8944583557709551
