license,begin_time,end_time,load_hotspot,drop_hotspot,od_distance,traveled_from_charged,to_charge,cs_index,cs_name
0,2014-07-01 00:00:00.000000,2014-07-01 00:09:07.000000,76,49,2.3518747028674976,2.3518747028674976,0,,
0,2014-07-01 01:26:34.000000,2014-07-01 01:30:56.750000,1,22,2.508806288877889,30.657157031046033,0,,
0,2014-07-01 02:10:19.750000,2014-07-01 02:24:56.750000,41,114,5.5635796585428,51.0262472953133,0,,
0,2014-07-01 02:37:57.750000,2014-07-01 02:58:44.750000,169,80,11.937955759169302,63.45607750004672,0,,
0,2014-07-01 03:32:53.250000,2014-07-01 03:42:20.750000,29,2,3.3168283985147786,77.14535376834904,0,,
0,2014-07-01 04:06:16.750000,2014-07-01 04:13:02.750000,21,46,2.8865974131446737,89.09018286612162,0,,
0,2014-07-01 05:44:04.494759,2014-07-01 05:53:39.494759,19,4,8.165622550685631,97.25580541680725,0,,
0,2014-07-01 07:48:59.494759,2014-07-01 07:54:03.161426,71,28,1.953810382078832,119.49697831008268,0,,
0,2014-07-01 08:22:46.911426,2014-07-01 08:41:02.911426,63,36,5.219282570991466,125.92773690150608,0,,
0,2014-07-01 08:59:07.286426,2014-07-01 09:07:51.286426,31,21,1.94579708284921,128.39438732070025,0,,
0,2014-07-01 09:21:26.619759,2014-07-01 09:28:17.286426,35,17,2.64597208429812,131.75288707231286,0,,
0,2014-07-01 09:47:20.517195,2014-07-01 09:56:24.850528,23,39,1.999223891027991,134.44282001030467,0,,
0,2014-07-01 10:20:52.850528,2014-07-01 10:40:16.850528,84,87,4.3798085670124935,144.03261521598222,0,,
0,2014-07-01 10:53:51.600528,2014-07-01 11:21:10.600528,96,93,15.727633955413795,160.47151599357778,0,,
0,2014-07-01 11:30:14.600528,2014-07-01 11:36:05.600528,106,111,6.901722402704829,168.32838371238904,0,,
0,2014-07-01 12:48:15.600528,2014-07-01 12:54:26.725528,20,26,2.1301804915380806,183.28956113412735,1,0,A01
0,2014-07-01 14:39:52.558861,2014-07-01 14:50:07.558861,14,19,4.15583107827271,6.19984057707258,0,,
0,2014-07-01 15:09:15.058861,2014-07-01 15:14:32.058861,11,48,3.5572158520387824,12.300433328594034,0,,
0,2014-07-01 15:28:54.058861,2014-07-01 15:45:03.058861,42,95,5.209390719050543,18.394322636815254,0,,
0,2014-07-01 16:02:17.058861,2014-07-01 16:08:38.058861,103,27,2.727111962881524,22.932474381576363,0,,
0,2014-07-01 17:02:31.392194,2014-07-01 17:21:29.392194,30,190,8.863047306385546,33.29988672826519,0,,
0,2014-07-01 17:32:13.392194,2014-07-01 17:36:24.392194,73,77,1.5393253303122665,46.25303138093301,0,,
0,2014-07-01 17:52:36.392194,2014-07-01 18:01:06.392194,179,88,2.8918639161975053,51.18827621400099,0,,
0,2014-07-01 18:14:02.725527,2014-07-01 18:36:09.725527,92,61,15.006429673528796,67.18060651191833,0,,
0,2014-07-01 18:52:18.725527,2014-07-01 19:00:56.225527,69,76,50.691253012272156,124.61618562945412,0,,
0,2014-07-01 19:13:41.025527,2014-07-01 19:19:03.025527,56,49,2.026243099073304,127.65425357826709,0,,
